series_name,episode_title,rating,longevity_score,episode_label,episode_count,recent_genres,total_seasons
Breaking Bad,No MÃ¡s,8.5,31.50,Long-Lasting,3,No Episodes,3
Breaking Bad,Seven Thirty-Seven,8.6,29.80,Moderate,3,No Episodes,3
Breaking Bad,Pilot,8.7,28.10,Moderate,3,No Episodes,3
Friends,The One with Ross's New Girlfriend,8.4,29.20,Moderate,3,No Episodes,2
Friends,The One Where Monica Gets a Roommate,8.3,26.90,Moderate,3,No Episodes,2
Friends,The One with the Sonogram,8.1,26.30,Moderate,3,No Episodes,2
Game of Thrones,The North Remembers,8.9,30.70,Long-Lasting,3,No Episodes,2
Game of Thrones,Winter Is Coming,9.0,29.00,Moderate,3,No Episodes,2
Game of Thrones,The Kingsroad,8.8,28.40,Moderate,3,No Episodes,2
Lost,"Man of Science, Man of Faith",8.7,30.10,Long-Lasting,3,No Episodes,2
Lost,Pilot,8.9,28.70,Moderate,3,No Episodes,2
Lost,Tabula Rasa,8.5,27.50,Moderate,3,No Episodes,2
Spartacus,Fugitivus,8.3,28.90,Moderate,3,No Episodes,2
Spartacus,The Red Woman,8.2,26.60,Moderate,3,No Episodes,2
Spartacus,Whispers,8.0,26.00,Moderate,3,No Episodes,2
Stranger Things,Chapter Nine: The Gate,8.8,30.40,Long-Lasting,3,Sci-Fi,2
Stranger Things,Chapter One: The Vanishing,8.5,27.50,Moderate,3,Sci-Fi,2
Stranger Things,Chapter Two: The Weirdo,8.2,26.60,Moderate,3,Sci-Fi,2
The Boys,The Self-Preservation Society,8.7,30.10,Long-Lasting,3,Action,2
The Boys,The Name of the Game,8.6,27.80,Moderate,3,Action,2
The Boys,Cherry,8.4,27.20,Moderate,3,Action,2
